Date,Clicks,Impressions,CTR,Position
2026-03-05,0,9,0%,2.4
2026-03-06,0,29,0%,11.9
2026-03-07,1,128,0.78%,34.2
2026-03-08,4,116,3.45%,20
2026-03-09,1,128,0.78%,15.9
2026-03-10,0,69,0%,16.8
2026-03-11,1,89,1.12%,22.3
2026-03-12,1,119,0.84%,13.2
2026-03-13,0,47,0%,14.4
2026-03-14,0,24,0%,21.5
