Date,Clicks,Impressions,CTR,Position
2026-06-10,9,925,0.97%,18.3
2026-06-11,5,876,0.57%,18.1
2026-06-12,4,803,0.5%,21
2026-06-13,3,721,0.42%,23.6
2026-06-14,2,844,0.24%,21.8
2026-06-15,4,1149,0.35%,16.8
2026-06-16,4,1313,0.3%,15.6
